Wed Apr 12 15:48:39 2023 Fold 0, Epoch 1, lr: 0.0000300, train loss: 0.14221, valid loss: 0.05232, precision: 0.9686, recall: 0.960109.
Wed Apr 12 16:00:59 2023 Fold 0, Epoch 1, lr: 0.0000300, train loss: 0.16455, valid loss: 0.06288, precision: 0.9573, recall: 0.948718.
Wed Apr 12 16:09:07 2023 Fold 0, Epoch 2, lr: 0.0003000, train loss: 0.06872, valid loss: 0.05339, precision: 0.9446, recall: 0.973470.
Wed Apr 12 16:17:10 2023 Fold 0, Epoch 3, lr: 0.0002991, train loss: 0.05241, valid loss: 0.04306, precision: 0.9680, recall: 0.970750.
Wed Apr 12 16:25:06 2023 Fold 0, Epoch 4, lr: 0.0002965, train loss: 0.04700, valid loss: 0.04082, precision: 0.9687, recall: 0.970194.
Wed Apr 12 16:33:02 2023 Fold 0, Epoch 5, lr: 0.0002921, train loss: 0.04285, valid loss: 0.04068, precision: 0.9728, recall: 0.967291.
Wed Apr 12 16:40:57 2023 Fold 0, Epoch 6, lr: 0.0002861, train loss: 0.03902, valid loss: 0.04015, precision: 0.9628, recall: 0.975014.
Wed Apr 12 16:48:52 2023 Fold 0, Epoch 7, lr: 0.0002785, train loss: 0.03676, valid loss: 0.04272, precision: 0.9769, recall: 0.965038.
Wed Apr 12 16:56:47 2023 Fold 0, Epoch 8, lr: 0.0002694, train loss: 0.03376, valid loss: 0.04057, precision: 0.9624, recall: 0.980162.
Wed Apr 12 17:04:40 2023 Fold 0, Epoch 9, lr: 0.0002589, train loss: 0.03076, valid loss: 0.03775, precision: 0.9663, recall: 0.981496.
Wed Apr 12 17:12:32 2023 Fold 0, Epoch 10, lr: 0.0002471, train loss: 0.02905, valid loss: 0.03587, precision: 0.9746, recall: 0.976128.
Wed Apr 12 17:20:26 2023 Fold 0, Epoch 11, lr: 0.0002342, train loss: 0.02696, valid loss: 0.03872, precision: 0.9771, recall: 0.972407.
Wed Apr 12 17:28:24 2023 Fold 0, Epoch 12, lr: 0.0002203, train loss: 0.02456, valid loss: 0.03615, precision: 0.9758, recall: 0.977655.
Wed Apr 12 17:36:20 2023 Fold 0, Epoch 13, lr: 0.0002055, train loss: 0.02267, valid loss: 0.03850, precision: 0.9763, recall: 0.976755.
Wed Apr 12 17:44:16 2023 Fold 0, Epoch 14, lr: 0.0001901, train loss: 0.02166, valid loss: 0.03838, precision: 0.9767, recall: 0.976498.
Wed Apr 12 17:52:14 2023 Fold 0, Epoch 15, lr: 0.0001743, train loss: 0.01902, valid loss: 0.03676, precision: 0.9737, recall: 0.979060.
Wed Apr 12 18:00:15 2023 Fold 0, Epoch 16, lr: 0.0001581, train loss: 0.01788, valid loss: 0.03689, precision: 0.9766, recall: 0.982082.
Wed Apr 12 18:08:07 2023 Fold 0, Epoch 17, lr: 0.0001419, train loss: 0.01663, valid loss: 0.03892, precision: 0.9766, recall: 0.981060.
Wed Apr 12 18:16:07 2023 Fold 0, Epoch 18, lr: 0.0001257, train loss: 0.01569, valid loss: 0.04028, precision: 0.9744, recall: 0.981030.
Wed Apr 12 18:24:01 2023 Fold 0, Epoch 19, lr: 0.0001099, train loss: 0.01414, valid loss: 0.04114, precision: 0.9762, recall: 0.980698.
Wed Apr 12 18:31:54 2023 Fold 0, Epoch 20, lr: 0.0000945, train loss: 0.01331, valid loss: 0.04394, precision: 0.9780, recall: 0.977459.
Wed Apr 12 18:39:52 2023 Fold 0, Epoch 21, lr: 0.0000797, train loss: 0.01240, valid loss: 0.04348, precision: 0.9793, recall: 0.978403.
Wed Apr 12 18:47:47 2023 Fold 0, Epoch 22, lr: 0.0000658, train loss: 0.01166, valid loss: 0.04359, precision: 0.9779, recall: 0.979117.
Wed Apr 12 18:55:42 2023 Fold 0, Epoch 23, lr: 0.0000529, train loss: 0.01103, valid loss: 0.04386, precision: 0.9780, recall: 0.980773.
Wed Apr 12 19:03:38 2023 Fold 0, Epoch 24, lr: 0.0000411, train loss: 0.01020, valid loss: 0.04375, precision: 0.9776, recall: 0.981169.
Wed Apr 12 19:11:29 2023 Fold 0, Epoch 25, lr: 0.0000306, train loss: 0.00974, valid loss: 0.04367, precision: 0.9769, recall: 0.981651.
Wed Apr 12 19:19:22 2023 Fold 0, Epoch 26, lr: 0.0000215, train loss: 0.00924, valid loss: 0.04454, precision: 0.9782, recall: 0.981574.
Wed Apr 12 19:27:18 2023 Fold 0, Epoch 27, lr: 0.0000139, train loss: 0.00858, valid loss: 0.04539, precision: 0.9779, recall: 0.981364.
Wed Apr 12 19:35:16 2023 Fold 0, Epoch 28, lr: 0.0000079, train loss: 0.00916, valid loss: 0.04562, precision: 0.9782, recall: 0.980920.
Wed Apr 12 19:43:13 2023 Fold 0, Epoch 29, lr: 0.0000035, train loss: 0.00857, valid loss: 0.04514, precision: 0.9782, recall: 0.981142.
Wed Apr 12 19:51:11 2023 Fold 0, Epoch 30, lr: 0.0000009, train loss: 0.00865, valid loss: 0.04612, precision: 0.9773, recall: 0.981733.
Wed Apr 12 19:59:09 2023 Fold 1, Epoch 1, lr: 0.0000300, train loss: 0.16326, valid loss: 0.06309, precision: 0.9552, recall: 0.954764.
Wed Apr 12 20:07:13 2023 Fold 1, Epoch 2, lr: 0.0003000, train loss: 0.06894, valid loss: 0.04905, precision: 0.9528, recall: 0.967542.
Wed Apr 12 20:15:10 2023 Fold 1, Epoch 3, lr: 0.0002991, train loss: 0.05325, valid loss: 0.04528, precision: 0.9684, recall: 0.957891.
Wed Apr 12 20:23:09 2023 Fold 1, Epoch 4, lr: 0.0002965, train loss: 0.04696, valid loss: 0.04373, precision: 0.9636, recall: 0.964223.
Wed Apr 12 20:31:05 2023 Fold 1, Epoch 5, lr: 0.0002921, train loss: 0.04369, valid loss: 0.04508, precision: 0.9603, recall: 0.969594.
Wed Apr 12 20:39:01 2023 Fold 1, Epoch 6, lr: 0.0002861, train loss: 0.04022, valid loss: 0.04016, precision: 0.9674, recall: 0.973608.
Wed Apr 12 20:46:54 2023 Fold 1, Epoch 7, lr: 0.0002785, train loss: 0.03652, valid loss: 0.03711, precision: 0.9721, recall: 0.976078.
Wed Apr 12 20:54:48 2023 Fold 1, Epoch 8, lr: 0.0002694, train loss: 0.03355, valid loss: 0.03897, precision: 0.9673, recall: 0.974741.
Wed Apr 12 21:02:48 2023 Fold 1, Epoch 9, lr: 0.0002589, train loss: 0.03143, valid loss: 0.04328, precision: 0.9762, recall: 0.965556.
Wed Apr 12 21:10:41 2023 Fold 1, Epoch 10, lr: 0.0002471, train loss: 0.02874, valid loss: 0.03574, precision: 0.9697, recall: 0.981212.
Wed Apr 12 21:18:35 2023 Fold 1, Epoch 11, lr: 0.0002342, train loss: 0.02683, valid loss: 0.03588, precision: 0.9763, recall: 0.976595.
Wed Apr 12 21:26:29 2023 Fold 1, Epoch 12, lr: 0.0002203, train loss: 0.02544, valid loss: 0.03551, precision: 0.9754, recall: 0.975792.
Wed Apr 12 21:34:26 2023 Fold 1, Epoch 13, lr: 0.0002055, train loss: 0.02240, valid loss: 0.03563, precision: 0.9763, recall: 0.976070.
Wed Apr 12 21:42:24 2023 Fold 1, Epoch 14, lr: 0.0001901, train loss: 0.02141, valid loss: 0.03515, precision: 0.9738, recall: 0.980275.
Wed Apr 12 21:50:16 2023 Fold 1, Epoch 15, lr: 0.0001743, train loss: 0.01950, valid loss: 0.03515, precision: 0.9786, recall: 0.979030.
Wed Apr 12 21:58:10 2023 Fold 1, Epoch 16, lr: 0.0001581, train loss: 0.01857, valid loss: 0.03709, precision: 0.9756, recall: 0.981187.
Wed Apr 12 22:06:07 2023 Fold 1, Epoch 17, lr: 0.0001419, train loss: 0.01669, valid loss: 0.03914, precision: 0.9758, recall: 0.981076.
